Service Code,Service Code Description,Is Current,2024/25 ICB Delegation Status,2025/26 ICB Delegation Status,2026/27 Delegation status,Grouping
NCBPS33C_TOP,SPECIALIST COLORECTAL SURGERY SERVICES: TRANSANAL ENDOSCOPIC MICROSURGERY (ADULTS) - TOP UP,1,BLUE,BLUE,BLUE,ACUTE
NCBPS23P,SPECIALIST DENTISTRY SERVICES FOR CHILDREN,1,GREEN,GREEN,GREEN,ACUTE
NCBPS23C,SPECIALIST DENTISTRY SERVICES FOR CHILDREN,0,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,ACUTE
NCBPS23P_TOP,SPECIALIST DENTISTRY SERVICES FOR CHILDREN - TOP UP,1,BLUE,BLUE,BLUE,ACUTE
NCBPS24Z,SPECIALIST DERMATOLOGY SERVICES (ADULTS AND CHILDREN),1,GREEN,GREEN,GREEN,ACUTE
NCBPS23D,"SPECIALIST EAR, NOSE AND THROAT SERVICES FOR CHILDREN",1,GREEN,GREEN,GREEN,ACUTE
NCBPS23D_TOP,"SPECIALIST EAR, NOSE AND THROAT SERVICES FOR CHILDREN - TOP UP",1,BLUE,BLUE,BLUE,ACUTE
NCBPS23E,SPECIALIST ENDOCRINOLOGY AND DIABETES SERVICES FOR CHILDREN,1,GREEN,GREEN,GREEN,ACUTE
NCBPS05E,SPECIALIST ENVIRONMENTAL CONTROLS (ADULTS AND CHILDREN),1,AMBER,GREEN,GREEN,ACUTE
NCBPS23F,"SPECIALIST GASTROENTEROLOGY, HEPATOLOGY AND NUTRITIONAL SUPPORT SERVICES FOR CHILDREN",1,GREEN,GREEN,GREEN,ACUTE
NCBPS23F_TOP,"SPECIALIST GASTROENTEROLOGY, HEPATOLOGY AND NUTRITIONAL SUPPORT SERVICES FOR CHILDREN - TOP UP",1,BLUE,BLUE,BLUE,ACUTE
NCBPS23H,SPECIALIST HAEMATOLOGY SERVICES FOR CHILDREN,1,GREEN,GREEN,GREEN,ACUTE
NCBPS23H_TOP,SPECIALIST HAEMATOLOGY SERVICES FOR CHILDREN - TOP UP,1,BLUE,BLUE,BLUE,ACUTE
