Organisation_Code,Organisation_Name,ICB_Code,ICB_Name
M1J4Y,"NHS Bedfordshire, Luton and Milton Keynes ICB",QHG,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board"
M2L0M,"NHS Shropshire, Telford and Wrekin ICB",QOC,"NHS Shropshire, Telford and Wrekin Integrated Care Board"
O3P1D,Lewisham - SubICB Reporting Entity,QKK,NHS South East London Integrated Care Board
O4I9P,Brent - SubICB Reporting Entity,QRV,NHS North West London Integrated Care Board
P7F1Z,Merton - SubICB Reporting Entity,QWE,NHS South West London Integrated Care Board
Q0S2C,Bexley - SubICB Reporting Entity,QKK,NHS South East London Integrated Care Board
Q6U7B,Kingston - SubICB Reporting Entity,QWE,NHS South West London Integrated Care Board
R0W7N,Hammersmith and Fulham - SubICB Reporting Entity,QRV,NHS North West London Integrated Care Board
S7H6Y,Tower Hamlets - SubICB Reporting Entity,QMF,NHS North East London Integrated Care Board
U7R3S,Enfield - SubICB Reporting Entity,QMJ,NHS North Central London Integrated Care Board
W2U3Z,NHS North West London ICB,QRV,NHS North West London Integrated Care Board
W5Y6K,Barking and Dagenham - SubICB Reporting Entity,QMF,NHS North East London Integrated Care Board
X2C4Y,NHS West Yorkshire ICB,QWO,NHS West Yorkshire Integrated Care Board
Y4U7N,Harrow - SubICB Reporting Entity,QRV,NHS North West London Integrated Care Board
Z1H8A,Central London - SubICB Reporting Entity,QRV,NHS North West London Integrated Care Board
Z4H8X,Hounslow - SubICB Reporting Entity,QRV,NHS North West London Integrated Care Board
,,S1Y5D,NHS Central East Integrated Care Board
,,D7T5G,NHS Essex Integrated Care Board
,,T6Y0W,NHS Norfolk and Suffolk Integrated Care Board
,,Z9B2Z,NHS West and North London Integrated Care Board
,,S0E4D,NHS Thames Valley Integrated Care Board
,,S9B9J,NHS Surrey and Sussex Integrated Care Board
